Geneid	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample56	sample57	sample51	sample52	sample53	sample54	sample55
PTmerged471	38	35	48	69	42	20	32	26	728	662	641	698	639	964	1197	980	790	602
PTmerged472	105	87	139	89	31	45	43	19	1195	1050	1007	977	828	623	854	730	681	617
PTmerged474	1429	952	2154	1041	1243	1242	1557	730	264	281	260	366	303	481	607	475	334	261
PTmerged475	637	351	918	532	1463	1211	1386	812	36	37	49	53	44	46	45	32	47	46
PTmerged476	980	472	1284	716	842	775	932	515	406	420	390	526	454	569	708	606	445	430
PTmerged477	493	222	573	263	759	753	835	441	96	78	68	72	52	70	103	80	68	85
PTmerged478	2248	1370	3149	1463	3608	2867	3556	2141	178	184	159	74	61	74	77	70	96	93
PTmerged479	314	187	452	244	389	335	508	209	334	301	320	293	253	437	498	461	377	350
PTmerged480	319	242	500	286	509	458	565	314	471	412	443	595	520	435	546	457	409	388
PTmerged481	3811	2541	4846	6160	4345	5128	7001	2863	73673	65709	70743	58056	48579	78009	98849	84613	72268	62183
PTmerged482	888	849	1650	710	3160	2477	2790	1829	251	253	259	392	349	388	516	396	302	264
PTmerged483	887	849	1646	709	3153	2464	2780	1826	251	253	258	390	349	388	516	395	302	264
PTmerged484	434	262	680	352	660	603	839	385	59	44	42	37	43	54	59	58	58	48
PTmerged485	411	216	542	252	905	759	875	547	157	162	171	168	159	203	246	197	209	197
PTmerged486	411	216	542	252	906	763	878	546	158	162	171	168	159	204	246	199	208	196
PTmerged487	764	494	1171	490	1415	1403	1719	995	44	44	44	43	40	34	43	37	49	38
PTmerged488	903	651	1576	787	2231	2011	2393	1319	606	582	505	1021	896	923	1207	908	663	660
PTmerged489	496	279	769	326	554	474	698	316	114	118	93	90	93	107	127	104	116	93
PTmerged490	528	391	878	436	1665	1519	1844	974	263	225	252	178	166	221	252	223	202	198
PTmerged494	1352	809	1655	1064	2815	2481	2563	1602	117	123	116	128	89	94	115	100	97	124
PTmerged495	1353	810	1654	1064	2815	2481	2563	1602	117	123	116	127	89	94	115	100	97	124
PTmerged496	511	355	856	423	1359	1040	1373	877	256	237	278	254	215	263	301	266	226	212
