Geneid	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample56	sample57	sample51	sample52	sample53	sample54	sample55
PTmerged701	112	83	191	165	107	113	167	99	1848	1430	1711	2310	2093	1764	2205	1839	4523	4000
PTmerged702	34	15	40	39	11	8	14	4	135	112	143	283	213	106	119	121	185	205
PTmerged703	359	251	497	442	213	237	246	177	1879	1619	1906	2879	2568	1980	2440	2273	2665	2292
PTmerged704	36	16	31	18	25	16	37	24	68	66	60	222	205	109	134	111	302	295
PTmerged705	676	393	1113	488	1297	1158	1354	796	185	193	170	177	144	137	179	141	163	127
PTmerged706	6350	3825	9069	10510	4386	4539	5494	3766	95419	82774	92096	116203	109238	80879	99009	88171	112867	101080
PTmerged707	1083	700	1527	729	3436	2299	2617	1789	121	118	86	111	102	95	85	62	76	105
PTmerged708	1322	842	1851	967	4267	2900	3227	2197	126	133	104	136	123	109	105	87	96	126
PTmerged709	20	25	37	25	90	75	63	73	302	244	246	190	161	155	215	168	452	359
PTmerged710	280	228	402	252	753	564	761	414	484	452	475	299	295	573	695	568	490	481
PTmerged711	269	221	385	238	741	545	728	395	479	451	471	298	295	570	691	564	487	477
PTmerged712	3136	2292	4410	5324	1861	1909	2230	1515	41788	34226	40369	61696	55112	51609	64100	55175	44853	39865
PTmerged713	960	623	1588	692	1458	1307	1596	867	160	153	151	197	153	170	247	217	158	168
PTmerged714	99	89	124	93	57	40	72	30	714	668	641	860	720	526	693	638	732	589
PTmerged715	787	622	1218	646	2960	2322	2563	1715	91	75	67	59	66	91	101	90	67	85
PTmerged716	787	622	1217	646	2959	2319	2555	1715	91	74	67	59	66	91	101	90	67	85
PTmerged717	6819	8295	10925	10849	9943	11359	16363	6494	83571	81577	80604	96040	82364	80660	101424	89613	82334	73129
PTmerged718	256	190	402	261	671	573	666	395	1673	1277	1531	1152	940	1672	1987	1642	1293	1200
PTmerged719	2114	1568	3845	2553	4613	4347	6165	2475	8642	7663	8183	9499	8682	17668	21412	18458	19682	18920
PTmerged720	567	344	994	433	945	837	1070	536	281	220	265	269	245	226	326	241	234	235
PTmerged721	121	91	219	91	115	107	124	88	97	85	118	207	174	130	174	146	325	270
PTmerged722	94	69	170	92	1144	1022	1456	712	993	935	949	112	74	1398	1735	1438	1111	924
PTmerged724	610	352	921	421	1138	987	1238	674	627	524	670	852	743	553	696	586	614	599
PTmerged725	107	103	236	108	445	443	520	266	215	202	174	241	211	237	243	228	261	222
PTmerged726	1795	1216	2890	1458	450	325	405	472	84	105	86	306	241	28	40	37	103	75
PTmerged727	854	466	1304	711	20	22	28	17	4	11	6	148	129	1	2	2	4	7
PTmerged728	822	553	1134	587	1549	1182	1394	881	141	130	148	179	119	175	184	199	141	123
PTmerged729	1034	846	1680	957	1899	1626	1962	1193	1897	1873	1732	2156	1731	1984	2393	2091	1727	1555
PTmerged730	1021	845	1668	952	1893	1622	1956	1189	1893	1871	1730	2154	1730	1983	2391	2089	1725	1554
PTmerged731	27	33	42	45	41	86	111	33	640	613	548	492	388	753	883	819	339	267
PTmerged732	19	17	22	27	37	25	54	19	395	342	371	240	197	556	707	610	325	347
PTmerged733	59	58	101	60	31	35	31	15	184	203	183	216	199	264	292	262	236	180
PTmerged734	163	158	221	155	172	145	170	96	326	341	302	338	292	387	575	415	233	238
PTmerged735	348	209	429	200	2036	1614	1848	1136	49	37	35	29	43	35	33	36	32	47
PTmerged736	57997	48786	84033	94041	69666	81201	116858	47570	1159652	1095786	1114100	1196014	1070803	994284	1249160	1092240	1258693	1133744
PTmerged737	6462	5810	11518	9078	9075	9342	13714	5322	95911	92353	91264	116244	101758	96251	120454	106564	33139	30474
PTmerged738	2423	1960	3800	3845	8212	8744	11918	4958	55756	51800	54821	46179	39960	31974	40789	35900	67353	58323
PTmerged739	572	367	813	499	479	376	404	235	114	101	96	115	110	69	80	57	52	50
PTmerged740	136	103	304	158	413	367	525	222	591	522	578	1368	1205	1562	1988	1613	1547	1311
PTmerged741	61	38	98	76	50	37	73	29	230	196	263	252	199	178	221	231	262	226
PTmerged742	49	27	51	87	1	0	0	0	344	277	355	911	775	112	130	138	599	488
PTmerged743	5619	3335	9091	4946	19619	14297	16130	10578	458	349	435	759	586	570	692	470	479	561
PTmerged744	4663	2716	7532	4158	17528	12856	14376	9540	398	301	379	638	489	474	563	386	415	465
PTmerged745	308	235	489	217	846	584	795	407	72	89	61	77	48	59	68	77	62	57
PTmerged746	61	38	115	32	54	55	53	51	266	223	256	48	46	284	384	312	283	269
PTmerged747	369	289	616	322	509	478	505	311	272	270	257	202	165	202	290	248	144	173
PTmerged748	197	160	239	151	346	249	368	220	386	330	344	429	308	450	564	448	257	262
PTmerged750	1235	881	1931	918	3676	2919	3640	2253	436	491	471	530	402	518	628	600	497	458
PTmerged751	1223	873	1908	905	3620	2864	3577	2217	427	484	460	519	395	503	622	587	484	448
PTmerged752	58	16	80	32	55	45	80	14	96	113	92	144	123	122	154	122	133	112
PTmerged753	40	14	71	26	54	39	56	12	64	77	73	109	99	93	114	101	99	87
PTmerged754	164	94	232	133	173	164	239	108	406	307	334	213	192	279	371	299	279	267
PTmerged756	1	1	1	0	0	0	0	0	0	0	0	1	4	2174	2681	2371	0	0
PTmerged757	21	9	29	11	0	0	0	0	0	0	0	71	71	0	0	0	1881	1684
PTmerged758	82	47	176	190	0	0	0	0	0	0	0	2064	1930	0	0	0	0	1
PTmerged760	21	17	36	19	13	9	13	11	23	13	30	278	243	25	35	24	73	64
PTmerged761	372	234	588	266	569	497	615	432	989	1007	978	977	925	774	892	811	1171	981
PTmerged763	35107	26955	51520	59458	41015	47231	67281	28879	664236	626931	637103	668047	607756	618073	770845	677457	737782	676383
PTmerged764	3773	2455	5069	6586	1972	1981	2530	1950	68868	61866	67461	66082	60534	78182	98435	86649	95642	85055
PTmerged765	3203	2467	4637	5028	3692	4419	6650	2225	59188	54162	55883	43679	39092	59914	73173	63865	58625	55670
PTmerged766	27941	21240	41882	47599	33612	37733	53057	26009	577228	543794	558100	619410	555185	566569	706987	619448	621559	566967
PTmerged767	27941	21241	41882	47600	33612	37733	53057	26009	577229	543795	558101	619411	555185	566568	706982	619448	621558	566966
PTmerged768	5	12	21	36	18	23	44	22	193	206	168	162	140	134	176	141	214	174
PTmerged769	63354	58589	98232	107819	68035	80663	120503	43719	1228548	1203496	1176456	1295858	1147351	1110877	1408373	1218819	1384051	1244037
PTmerged770	9	5	14	13	0	2	0	0	545	515	545	515	443	634	851	734	564	567
PTmerged771	10	16	18	21	0	0	1	0	328	288	317	238	196	335	400	366	274	304
PTmerged772	2948	1646	3771	5270	1158	1245	1917	799	14793	12810	13832	10834	9413	12593	15448	13241	13737	12072
PTmerged773	6	3	10	19	4	4	3	1	216	192	251	158	133	161	201	192	132	120
PTmerged774	698	532	1055	452	1416	1103	1185	772	63	66	65	49	45	51	46	43	70	81
PTmerged775	9196	6082	14897	6939	15340	12517	14157	9248	710	658	639	880	658	646	902	670	868	968
PTmerged776	964	652	1602	788	1575	1371	1511	976	259	279	234	308	300	280	396	324	235	238
PTmerged777	955	650	1585	773	1549	1352	1492	964	256	278	233	305	296	278	396	322	234	235
PTmerged778	381	352	699	368	764	607	780	422	1316	1378	1299	1401	1173	1453	1867	1595	1426	1295
PTmerged779	53	21	47	38	42	25	34	24	279	254	253	265	223	234	262	214	239	259
PTmerged780	183	120	225	135	883	754	784	570	14	15	16	11	15	6	11	14	11	12
PTmerged781	118	79	192	101	180	118	161	81	287	253	339	380	325	347	400	374	454	402
PTmerged782	29	9	24	12	7	6	9	9	175	158	168	198	167	186	255	218	238	253
PTmerged783	29	9	24	11	6	5	8	9	167	156	159	196	165	185	251	214	238	253
PTmerged786	25	13	44	34	42	16	38	21	147	166	163	97	119	43	67	55	219	213
PTmerged787	1742	1346	2740	1382	2077	1854	2395	1356	1136	1073	1066	1262	1127	1284	1691	1484	1400	1436
PTmerged788	696	456	1133	526	1552	1220	1404	900	64	56	67	62	67	71	108	76	76	71
PTmerged789	655	409	951	536	1577	1238	1424	958	311	299	310	253	221	275	328	322	236	263
PTmerged790	692	424	1016	567	1648	1303	1502	1001	330	322	319	271	241	309	364	346	272	293
PTmerged791	109	125	208	74	188	137	210	156	23	21	26	13	7	24	25	23	16	22
PTmerged792	1304	878	2243	888	3150	2578	3060	2042	362	322	297	162	144	214	303	224	194	186
PTmerged793	223	109	317	150	267	250	296	140	160	154	179	164	166	181	244	201	254	207
PTmerged794	21	9	23	17	0	0	1	0	333	254	302	361	312	373	422	346	439	378
PTmerged795	459	318	882	361	1199	1024	1252	734	142	123	131	171	132	137	185	150	142	135
PTmerged796	1109	736	1758	803	2807	2729	2885	1631	265	265	269	385	320	372	462	403	421	376
PTmerged797	4260	2849	6293	6934	3431	3562	4438	2717	97723	84532	94949	105172	93354	90032	113144	97728	112241	94510
PTmerged798	493	410	863	926	266	204	297	320	12191	11109	11804	10578	9415	9812	12383	10870	12505	9760
PTmerged799	484	658	878	596	754	810	1101	470	3705	3373	3521	2922	2373	3738	4742	3903	2316	1951
PTmerged800	29	21	40	39	27	19	18	28	121	97	98	89	85	133	129	122	211	174
PTmerged801	477	276	711	275	1188	1008	1138	758	119	131	119	163	134	144	166	150	93	91
PTmerged802	655	540	1017	556	1861	1511	1540	1119	187	181	177	139	152	157	136	133	124	110
PTmerged803	1400	968	2098	1109	2975	2619	2846	1940	1801	1560	1735	1801	1562	1884	2376	2109	1550	1467
PTmerged804	26	41	39	43	0	0	0	0	805	657	584	274	174	590	692	586	9	15
PTmerged805	476	306	720	286	561	488	700	363	11	28	15	7	7	12	11	13	7	9
PTmerged806	1036	716	1679	836	1654	1478	2207	862	552	549	545	754	657	519	622	556	679	599
PTmerged807	6	16	50	18	39	36	42	27	693	656	608	12	6	7	10	10	9	9
PTmerged808	496	368	938	416	907	865	1293	430	306	269	270	350	326	301	404	347	326	346
PTmerged809	869	463	1219	672	529	546	750	261	839	759	836	471	406	752	1015	843	811	711
PTmerged810	362	228	539	248	976	855	1005	590	376	292	370	216	180	275	351	302	242	221
PTmerged811	109	71	177	154	34	22	29	12	672	592	693	492	383	699	883	707	813	688
PTmerged812	113	71	177	159	29	21	28	12	677	600	700	500	389	714	894	719	832	700
PTmerged815	449	352	812	526	1172	1037	1413	598	3424	3267	3510	3856	3358	3149	3793	3391	3694	3022
PTmerged814	450	352	815	526	1172	1040	1414	600	3434	3281	3516	3867	3366	3154	3803	3404	3700	3032
PTmerged816	37	37	57	31	106	57	100	52	563	455	562	383	350	324	400	341	636	476
PTmerged817	413	239	636	264	367	371	513	199	281	265	278	232	206	288	313	286	298	293
PTmerged818	1553	793	1947	2704	388	357	505	255	1860	1461	1695	26419	23607	11723	14157	12332	15209	13964
PTmerged819	701	868	1547	1013	836	924	1609	393	1919	1926	1781	1713	1396	2644	3454	2914	2129	1729
PTmerged821	539	366	802	336	877	738	923	557	577	538	577	724	614	753	989	817	480	438
PTmerged822	795	534	1353	627	1339	1236	1387	778	138	130	115	115	93	128	190	141	174	142
PTmerged823	389	285	573	314	1344	1035	1281	878	34	38	32	33	33	39	38	39	33	25
PTmerged824	167	67	233	134	764	583	586	387	18	21	23	22	30	20	28	13	36	36
PTmerged825	37	25	39	45	41	47	47	19	838	633	846	803	664	702	882	840	478	392
PTmerged827	628	412	875	396	863	811	978	541	36	58	38	25	28	32	21	30	19	17
PTmerged828	628	413	886	396	865	808	982	540	36	58	38	25	28	33	21	30	19	17
PTmerged829	149	124	230	129	137	93	143	84	197	213	201	188	179	265	310	258	127	150
PTmerged830	231	182	296	190	192	181	201	120	451	477	384	519	386	554	677	556	266	227
PTmerged832	13256	13875	20665	22786	12528	14388	19351	8008	212761	192334	203363	182894	157848	186580	231848	203496	211804	192744
PTmerged834	59	46	66	109	28	24	41	4	465	452	451	427	409	560	660	615	189	161
PTmerged835	73	54	139	41	967	1007	1294	546	793	623	677	173	163	609	723	689	615	579
PTmerged836	50	31	78	37	14	17	25	17	233	205	230	241	216	199	257	232	325	288
PTmerged837	2388	1465	3932	1907	6157	5347	6249	3402	469	471	485	495	442	727	845	727	393	410
PTmerged838	523	280	752	348	1176	986	1176	743	113	83	105	139	113	82	98	82	78	94
PTmerged839	1044	737	1674	791	3380	2947	3577	2107	1042	981	1043	1124	1042	1687	2125	1754	1844	1749
PTmerged840	191	136	321	151	418	368	422	188	174	171	179	179	152	143	139	129	211	181
PTmerged841	2526	1538	3955	1846	5631	4482	5308	3125	790	733	857	983	894	954	1175	1057	1281	1162
PTmerged842	2526	1538	3955	1846	5631	4482	5308	3125	790	733	857	983	894	954	1175	1057	1281	1162
PTmerged843	4893	3155	7091	8277	7849	8725	11790	6385	170830	155181	170808	162409	151035	132299	165568	146783	161295	138342
PTmerged844	2880	3161	5451	3430	5467	4843	6737	2857	11535	10691	10690	5476	4655	12617	15508	13273	11214	10589
PTmerged845	2208	1243	3283	1559	3334	3117	3812	1816	1070	1112	1002	1009	913	1243	1522	1350	1008	949
PTmerged846	2216	1244	3299	1562	3361	3138	3841	1837	1073	1113	1002	1011	915	1245	1522	1350	1009	949
PTmerged847	165	148	301	147	415	323	341	234	619	474	565	520	467	744	910	772	866	800
PTmerged848	246	158	420	159	341	305	317	202	132	134	116	126	91	99	130	107	171	167
PTmerged849	9	1	8	0	0	0	0	0	0	0	0	0	2	312	400	375	1	0
PTmerged850	5263	3858	8754	5034	16370	13568	16694	9251	13500	12688	13261	18265	17120	13383	16713	15183	16801	15220
PTmerged851	221	200	426	187	1018	858	983	589	61	67	74	65	31	82	83	63	48	59
PTmerged852	1361	966	2096	918	1892	1817	1935	1585	78	114	94	97	93	98	113	102	55	56
PTmerged853	627	424	1018	451	1316	1117	1159	769	60	62	64	62	50	45	47	58	54	57
PTmerged854	88	96	165	105	218	224	257	125	600	558	567	214	201	268	287	258	611	549
PTmerged855	1149	851	1605	790	3779	2892	3314	2327	119	95	85	67	62	78	92	72	81	83
PTmerged856	555	382	886	453	505	482	501	324	38	23	18	20	17	70	90	84	41	48
PTmerged857	494	417	864	424	1733	1543	1806	1035	685	739	667	514	465	721	873	788	695	654
PTmerged858	684	510	1176	642	876	771	1047	459	1269	1136	1182	899	707	762	924	817	1082	944
PTmerged859	668	500	1156	635	867	764	1038	453	1257	1123	1163	893	692	758	919	810	1073	938
PTmerged862	87	66	114	85	209	184	187	101	266	229	251	224	182	266	338	298	242	232
PTmerged863	84	62	111	81	209	184	186	101	264	228	248	220	180	266	338	297	241	232
PTmerged865	249	155	448	193	286	244	342	161	268	237	249	314	348	335	406	328	276	234
PTmerged866	529	334	831	436	729	614	813	459	135	147	129	147	126	139	169	134	145	137
PTmerged867	2558	1569	3857	1764	3016	2832	3134	1869	365	333	403	551	421	280	435	327	209	244
PTmerged868	282	227	528	348	596	464	747	270	1050	926	978	735	595	945	1143	1006	736	617
PTmerged869	15	17	42	23	22	31	22	8	244	228	227	262	207	260	299	274	126	132
PTmerged870	475	329	782	358	1108	1043	1098	689	57	54	43	46	25	38	50	50	35	35
PTmerged871	177	87	247	191	991	888	1059	593	739	596	736	718	651	794	943	869	555	503
PTmerged872	323	197	524	222	1100	802	1014	579	47	44	60	55	53	53	79	53	43	41
PTmerged873	864	541	1198	1346	777	672	836	616	12693	10647	12494	12475	10515	10104	12785	11206	15223	11905
PTmerged874	38592	24368	54636	65495	27159	29834	38069	23491	689309	630625	660755	703641	656024	674084	832188	736075	833236	758404
PTmerged875	52	30	87	112	25	34	39	33	1692	1356	1477	1063	1022	1397	1842	1522	1044	906
PTmerged876	581	408	744	420	545	461	484	306	29	34	48	46	37	37	51	40	40	32
PTmerged877	397	251	679	246	971	799	1089	579	127	113	108	115	86	102	117	106	104	95
PTmerged878	397	251	679	246	975	800	1090	579	128	115	110	115	87	102	117	107	104	95
PTmerged879	481	316	643	308	1066	994	1057	668	66	85	74	55	55	41	75	55	74	57
PTmerged880	544	309	808	398	1058	885	1015	579	80	66	105	119	92	111	126	137	87	90
PTmerged881	22	20	26	36	1	6	4	0	121	113	98	202	191	175	197	173	97	97
PTmerged882	80283	78804	133104	138186	136369	159083	232070	74094	1309794	1259446	1272620	1499930	1342026	1331194	1664344	1459805	1522102	1390936
PTmerged883	29	22	63	39	49	49	49	31	326	387	334	116	92	91	86	80	73	74
PTmerged884	503	304	870	370	515	472	583	367	36	33	28	28	20	19	24	18	19	22
PTmerged885	436	275	640	241	1117	1086	1212	700	164	179	195	151	116	166	222	173	243	241
PTmerged888	1546	1152	2380	1119	2820	2446	2797	1649	160	150	160	247	219	272	392	297	275	232
PTmerged889	1541	1141	2367	1113	2805	2434	2777	1630	159	147	160	247	217	270	390	295	275	232
PTmerged890	233	158	454	203	753	598	757	373	227	230	232	198	174	256	331	304	82	109
PTmerged891	34	48	53	65	35	47	73	24	383	423	395	386	278	519	567	490	334	288
PTmerged892	1652	1142	2556	1560	2766	2337	2616	1548	2220	1868	2056	2470	2040	2427	2814	2444	1736	1703
PTmerged893	396	351	828	436	811	837	1210	445	162	165	187	197	150	286	318	236	215	162
PTmerged897	762	505	1178	546	2044	1589	1825	1342	102	84	103	83	70	75	107	75	85	65
PTmerged898	1966	1274	3114	1709	6026	4781	5427	3180	196	190	199	171	152	117	136	121	117	126
PTmerged899	1964	1273	3113	1708	6021	4771	5418	3174	195	186	189	169	149	114	136	121	116	123
PTmerged900	118	85	170	148	157	116	175	95	791	618	785	1212	1157	764	952	884	1046	888
PTmerged901	571	373	882	405	812	680	841	527	356	282	359	490	384	630	717	565	524	461
PTmerged902	36	32	75	81	2	0	2	0	1228	1222	1002	458	370	586	683	657	103	202
PTmerged903	36	32	70	73	2	0	2	0	1187	1170	956	441	357	559	655	618	97	191
PTmerged904	2860	1697	4293	2229	5455	4803	5420	3247	190	194	207	210	144	164	224	165	145	181
PTmerged905	2822	1686	4262	2208	5395	4761	5376	3216	185	194	203	205	140	161	217	159	139	180
PTmerged906	748	408	1046	572	1161	905	1064	649	112	96	119	122	100	97	120	103	98	102
PTmerged907	395	293	603	308	3084	2568	2938	2056	65	68	62	89	60	82	82	59	69	67
PTmerged908	393	333	582	551	208	257	297	118	5523	5208	5294	5015	4332	5762	7138	6443	5524	5327
PTmerged909	6	1	5	0	494	322	463	244	0	4	2	2	1	3	2	0	5	5
PTmerged910	408	244	647	295	584	489	554	299	74	70	69	91	66	88	102	82	92	85
PTmerged58	3992	2301	5553	6703	2676	2768	3691	1906	70429	60590	68823	65738	58424	70388	88397	78566	97530	85353
PTmerged59	13	8	20	7	0	0	0	0	0	0	0	20	19	0	3	1	0	0
PTmerged60	42	48	62	67	75	54	84	26	319	280	273	347	257	373	425	378	378	315
PTmerged61	244	134	331	169	47	29	52	28	126	108	120	117	109	159	191	156	190	153
PTmerged62	296	204	436	273	315	277	429	213	671	598	652	1067	958	808	975	910	1000	939
PTmerged63	1	0	0	0	1	0	0	0	0	0	0	18	20	1	0	0	99	77
PTmerged64	577	314	938	419	583	652	658	425	102	86	80	110	64	131	151	124	119	106
PTmerged65	182	102	238	90	199	201	182	172	48	41	30	48	26	59	79	54	55	50
PTmerged66	2	1	1	0	1361	1011	1180	867	0	0	0	3	0	0	0	0	1	0
PTmerged67	2	1	1	0	1180	883	1009	767	0	0	0	3	0	0	0	0	1	0
PTmerged68	2856	2320	4793	2552	4935	4417	5374	3361	7588	6926	7237	7663	6479	6838	8473	7220	6814	6106
PTmerged69	2856	2318	4792	2550	4935	4417	5374	3358	7588	6926	7236	7663	6479	6838	8473	7220	6813	6106
PTmerged70	16	21	19	30	1	1	1	0	280	295	273	432	355	418	601	455	469	346
PTmerged71	12084	11200	17983	19690	11430	12749	18336	8155	194117	189935	188984	224928	200569	221293	278166	245662	262273	238531
PTmerged72	54	16	70	39	38	47	54	25	345	259	368	263	216	273	322	291	402	311
PTmerged73	10073	8814	15208	17998	8170	9806	14052	5772	223515	213870	215836	254281	229062	200426	257092	223132	258457	224861
PTmerged74	10073	8814	15208	17998	8170	9806	14052	5772	223516	213868	215837	254282	229061	200429	257092	223130	258456	224862
PTmerged75	251	163	417	132	1508	1313	1491	922	27	34	21	33	12	25	23	15	25	29
PTmerged76	782	448	1081	482	200	204	210	215	29	22	25	33	25	24	59	33	31	16
PTmerged77	219	114	240	143	108	91	88	91	448	420	446	341	297	348	415	333	390	315
PTmerged78	27448	29642	44665	47189	35720	42221	59989	20388	404007	394823	391634	419060	378694	376970	470887	416228	475790	424649
PTmerged79	776	460	1113	605	461	398	451	259	2272	1998	2038	1718	1349	2799	3123	2895	2029	1951
PTmerged80	478	309	679	305	935	760	870	570	35	34	29	38	29	32	41	27	21	23
PTmerged81	968	606	1509	714	743	593	740	454	88	82	92	83	84	82	113	88	101	94
PTmerged82	123	97	230	132	141	144	185	78	430	402	386	404	364	551	618	551	355	330
PTmerged83	699	516	1122	572	1193	1043	1212	797	45	54	54	56	46	43	51	51	36	60
PTmerged84	161	139	226	133	174	167	178	94	214	182	189	216	210	202	243	203	226	217
PTmerged85	41	19	43	11	175	164	148	133	231	222	228	322	265	121	169	132	203	119
PTmerged86	64	101	142	91	46	28	61	39	139	153	116	179	126	301	405	326	117	70
PTmerged87	389	273	572	279	779	558	747	438	195	180	209	358	365	139	190	154	199	184
PTmerged88	361	241	539	259	754	529	728	427	187	176	205	356	362	134	186	150	199	184
PTmerged89	235	160	328	202	257	243	286	156	296	283	270	337	288	425	504	424	316	290
PTmerged90	437	259	533	295	378	356	418	267	188	163	185	208	168	255	322	292	209	178
PTmerged91	437	259	533	293	375	352	418	266	187	163	185	208	168	255	322	292	209	178
PTmerged92	621	905	1036	819	823	731	812	538	2628	2675	2484	1846	1399	3558	4665	3816	812	745
PTmerged93	264	317	427	327	96	107	113	71	1143	1080	1091	749	565	1419	1895	1551	364	322
PTmerged94	383	545	597	464	239	168	169	135	926	940	876	804	566	2569	3473	2918	414	318
PTmerged95	9090	5560	15246	7683	45361	38868	42378	26097	767	761	640	1174	964	1063	1373	996	913	943
PTmerged96	1240	1909	2661	2008	131	183	242	70	5305	5795	5155	3898	3009	6166	8111	7063	3638	3368
PTmerged97	5713	5213	8121	9035	5	13	14	4	2637	2530	2357	93052	84414	39797	50172	43916	44176	41019
PTmerged98	5310	4807	7459	8321	5	5	12	4	2471	2396	2201	85924	77871	34353	43132	37821	44109	40963
PTmerged99	1	0	6	2	0	0	0	0	0	0	0	69	49	0	0	0	0	0
PTmerged100	263	211	525	276	250	299	523	195	7469	7225	7148	415	319	22	33	26	23260	21275
PTmerged101	141	84	272	81	0	0	0	0	0	0	0	7	2	0	1	1	85	48
PTmerged102	32	33	81	50	38	27	70	15	172	183	154	126	83	0	0	0	287	303
PTmerged105	852	472	1159	451	193	209	300	139	97	121	90	127	115	140	136	115	94	72
PTmerged106	647	489	1154	534	797	632	792	507	89	75	76	71	83	65	98	74	56	73
PTmerged107	390	285	725	356	466	456	644	236	756	750	656	828	734	703	960	794	685	702
PTmerged108	1584	1140	2570	2398	1157	1102	1602	720	18604	14950	17726	17209	14986	18187	22372	19664	20390	18779
PTmerged109	106	71	141	102	774	626	563	538	10	6	4	1	7	5	14	6	9	7
PTmerged110	288	240	507	243	414	350	492	234	306	352	325	297	250	324	412	360	305	272
PTmerged111	7434	4936	11277	11669	7545	7716	10439	5019	126985	114404	128522	147512	138746	109272	139179	125903	169837	145268
PTmerged112	274	171	401	201	411	346	361	224	624	579	612	645	622	660	778	754	354	290
PTmerged113	700	425	1192	472	1610	1339	1400	860	53	44	46	58	37	68	61	63	50	64
PTmerged114	96	118	188	130	115	96	121	59	830	785	792	873	757	677	858	694	545	564
PTmerged115	626	402	981	403	1627	1295	1514	982	72	79	80	80	44	61	85	77	71	65
PTmerged116	391	336	751	380	501	456	645	345	5885	5065	5621	3493	3096	3428	4196	3719	3245	2840
PTmerged117	111	86	138	81	150	131	152	110	553	534	538	481	415	271	326	265	656	569
PTmerged118	267	164	488	211	453	372	529	246	201	198	204	364	301	340	400	378	274	226
PTmerged119	247	169	431	215	1120	930	1020	622	330	282	303	260	214	252	350	277	214	225
PTmerged120	709	442	969	506	1217	919	1165	665	304	277	291	463	395	245	322	313	363	283
PTmerged121	20	8	25	18	1538	1420	1634	907	30	21	34	78	48	29	35	40	12	18
PTmerged122	86	38	132	70	275	331	392	227	24	20	18	26	22	24	27	21	15	22
PTmerged123	4	1	8	4	3	8	2	3	0	1	0	0	0	1	3	2	482	359
PTmerged124	637	349	948	389	982	796	1095	581	75	86	78	67	66	107	130	110	91	66
PTmerged125	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	297	243
PTmerged126	289	199	437	226	1073	847	1130	633	75	72	51	68	41	69	83	94	69	102
PTmerged127	1336	766	1878	905	414	384	728	232	108	134	104	225	226	214	279	256	199	119
PTmerged128	714	517	1304	705	1695	1518	2288	757	569	596	599	627	598	753	926	803	799	668
PTmerged129	101	75	156	66	133	130	148	60	230	233	245	236	262	318	408	363	279	272
PTmerged130	214	170	366	166	470	378	536	260	252	240	241	230	189	298	401	304	305	251
PTmerged131	370	325	629	309	1187	912	985	731	167	198	152	133	136	109	103	101	114	83
PTmerged132	2927	2095	4131	1663	1531	1373	1648	1532	423	385	364	208	193	214	261	216	377	332
PTmerged133	246	173	415	216	386	333	489	222	437	412	403	422	380	782	983	861	479	431
PTmerged134	399	317	684	333	774	585	744	411	149	168	186	136	115	100	125	89	165	128
PTmerged135	1912	1290	2861	1581	3876	3108	3771	2185	773	806	738	949	751	1269	1579	1367	801	739
PTmerged136	1911	1290	2861	1581	3876	3099	3771	2185	773	806	738	949	751	1269	1579	1367	801	739
PTmerged137	401	307	685	332	1324	1182	1248	945	73	72	66	74	65	79	80	72	69	69
PTmerged138	903	693	1498	775	3	1	2	4	5	4	2	555	486	678	871	783	641	612
PTmerged139	510	327	734	356	963	733	1048	591	180	212	193	226	176	218	241	212	214	191
PTmerged140	41	35	43	20	513	542	779	272	459	609	464	53	41	514	698	557	88	82
PTmerged141	1644	996	2528	1118	1678	1517	1856	1389	199	189	184	211	203	175	233	218	570	504
PTmerged142	565	452	1134	497	1189	1095	1345	737	1601	1358	1610	1668	1455	843	1142	983	1585	1335
PTmerged143	421	363	869	384	889	783	1007	544	1545	1307	1558	1597	1401	775	1068	919	1511	1267
PTmerged144	346	237	567	266	554	434	587	280	390	348	417	488	467	556	715	656	502	483
PTmerged145	385	229	550	296	1779	1680	1824	992	262	252	256	272	252	390	514	408	306	288
PTmerged146	600	554	862	547	1469	1075	1320	910	523	515	513	645	556	554	692	575	448	446
PTmerged147	53	26	65	39	5	6	1	0	1	0	1	1	0	0	2	2	0	0
PTmerged148	987	668	1543	896	1749	1506	1720	963	2651	2231	2507	2290	2012	2282	2811	2448	2569	2061
PTmerged149	205	153	369	159	464	459	631	296	89	86	84	60	48	67	82	81	81	76
PTmerged150	99	66	156	93	133	115	160	77	178	143	153	210	153	171	190	172	200	171
PTmerged151	409	311	618	298	839	740	914	533	70	83	67	109	92	87	83	66	103	85
PTmerged152	519	358	789	386	538	503	641	320	425	428	460	448	337	484	603	521	403	368
PTmerged153	420	275	705	292	468	485	594	336	186	191	211	210	200	373	423	429	300	277
PTmerged154	99	78	129	79	50	49	79	40	104	96	105	112	107	86	77	82	146	116
PTmerged155	141	123	256	181	125	90	144	69	610	592	625	474	409	372	468	434	396	378
PTmerged156	6208	3841	9014	4408	12780	10845	12299	7623	841	750	856	1401	1204	703	982	840	751	721
PTmerged157	186	102	223	212	134	135	147	67	343	315	332	751	667	302	399	363	570	535
PTmerged158	60	39	84	68	191	120	156	113	218	199	207	148	112	247	274	228	168	152
PTmerged159	501	280	838	428	1001	913	1035	574	258	255	287	248	229	217	341	252	293	241
PTmerged160	501	280	838	428	1001	912	1035	572	258	255	287	248	229	217	341	252	293	241
